"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
403,"downward",30,30,,0.825,"Motion"
403,"downward",60,60,,0.96,"Motion"
403,"downward",90,90,,0.85,"Motion"
403,"downward",120,120,,0.8,"Motion"
403,"upward",30,30,,1.216666667,"Motion"
403,"upward",60,60,,1.35,"Motion"
403,"upward",90,90,,1.35,"Motion"
403,"upward",120,120,,1.416666667,"Motion"
404,"downward",30,30,,1.016666667,"Motion"
404,"downward",60,60,,1.06,"Motion"
404,"downward",90,90,,1.06,"Motion"
404,"downward",120,120,,1.0,"Motion"
404,"upward",30,30,,1.116666667,"Motion"
404,"upward",60,60,,1.133333333,"Motion"
404,"upward",90,90,,1.083333333,"Motion"
404,"upward",120,120,,1.1,"Motion"
405,"downward",30,30,,0.933333333,"Motion"
405,"downward",60,60,,1.06,"Motion"
405,"downward",90,90,,0.86,"Motion"
405,"downward",120,120,,0.833333333,"Motion"
405,"upward",30,30,,1.066666667,"Motion"
405,"upward",60,60,,1.066666667,"Motion"
405,"upward",90,90,,1.083333333,"Motion"
405,"upward",120,120,,1.15,"Motion"
406,"downward",30,30,,1.05,"Motion"
406,"downward",60,60,,1.083333333,"Motion"
406,"downward",90,90,,1.116666667,"Motion"
406,"downward",120,120,,1.083333333,"Motion"
406,"upward",30,30,,1.116666667,"Motion"
406,"upward",60,60,,1.283333333,"Motion"
406,"upward",90,90,,1.383333333,"Motion"
406,"upward",120,120,,1.416666667,"Motion"
407,"downward",30,30,,1.05,"Motion"
407,"downward",60,60,,0.983333333,"Motion"
407,"downward",90,90,,1.016666667,"Motion"
407,"downward",120,120,,0.95,"Motion"
407,"upward",30,30,,1.15,"Motion"
407,"upward",60,60,,1.166666667,"Motion"
407,"upward",90,90,,1.083333333,"Motion"
407,"upward",120,120,,1.116666667,"Motion"
408,"downward",30,30,,1.083333333,"Motion"
408,"downward",60,60,,1.05,"Motion"
408,"downward",90,90,,1.0,"Motion"
408,"downward",120,120,,1.066666667,"Motion"
408,"upward",30,30,,1.016666667,"Motion"
408,"upward",60,60,,1.166666667,"Motion"
