"participant","Direction","Angular_disparity","Angular_disparity (2)","E","mean_changedheight","Group"
403,"downward",30,30,,1.625,"Static"
403,"downward",60,60,,1.7,"Static"
403,"downward",90,90,,2.35,"Static"
403,"upward",30,30,,1.62,"Static"
403,"upward",60,60,,1.95,"Static"
403,"upward",90,90,,2.3,"Static"
404,"downward",30,30,,1.15,"Static"
404,"downward",60,60,,1.1,"Static"
404,"downward",90,90,,1.15,"Static"
404,"downward",120,120,,1.183333333,"Static"
404,"upward",30,30,,1.0,"Static"
404,"upward",60,60,,1.016666667,"Static"
404,"upward",90,90,,1.05,"Static"
404,"upward",120,120,,1.066666667,"Static"
405,"downward",30,30,,1.016666667,"Static"
405,"downward",60,60,,1.18,"Static"
405,"downward",90,90,,1.1,"Static"
405,"downward",120,120,,1.033333333,"Static"
405,"upward",30,30,,1.133333333,"Static"
405,"upward",60,60,,1.1,"Static"
405,"upward",90,90,,1.133333333,"Static"
405,"upward",120,120,,1.166666667,"Static"
406,"downward",30,30,,1.05,"Static"
406,"downward",60,60,,1.05,"Static"
406,"downward",90,90,,1.033333333,"Static"
406,"downward",120,120,,1.1,"Static"
406,"upward",30,30,,1.1,"Static"
406,"upward",60,60,,1.016666667,"Static"
406,"upward",90,90,,1.1,"Static"
406,"upward",120,120,,1.116666667,"Static"
407,"downward",30,30,,1.083333333,"Static"
407,"downward",60,60,,1.083333333,"Static"
407,"downward",90,90,,1.1,"Static"
407,"downward",120,120,,1.05,"Static"
407,"upward",30,30,,1.066666667,"Static"
407,"upward",60,60,,1.016666667,"Static"
407,"upward",90,90,,1.066666667,"Static"
407,"upward",120,120,,1.083333333,"Static"
408,"downward",30,30,,1.0,"Static"
408,"downward",60,60,,1.016666667,"Static"
408,"downward",90,90,,1.033333333,"Static"
408,"downward",120,120,,1.05,"Static"
408,"upward",30,30,,1.016666667,"Static"
408,"upward",60,60,,1.05,"Static"
408,"upward",90,90,,1.05,"Static"
408,"upward",120,120,,1.033333333,"Static"
409,"downward",30,30,,1.233333333,"Static"
409,"downward",60,60,,1.133333333,"Static"
409,"downward",90,90,,1.116666667,"Static"
409,"downward",120,120,,1.0,"Static"
409,"upward",30,30,,1.116666667,"Static"
409,"upward",60,60,,1.066666667,"Static"
409,"upward",90,90,,1.183333333,"Static"
409,"upward",120,120,,1.116666667,"Static"
410,"downward",30,30,,0.98,"Static"
410,"downward",60,60,,1.1,"Static"
410,"downward",90,90,,1.1,"Static"
410,"downward",120,120,,1.05,"Static"
410,"upward",30,30,,1.25,"Static"
410,"upward",60,60,,1.02,"Static"
410,"upward",90,90,,1.133333333,"Static"
411,"downward",30,30,,2.05,"Static"
411,"downward",60,60,,1.9,"Static"
411,"downward",90,90,,2.5,"Static"
411,"downward",120,120,,2.2,"Static"
411,"upward",30,30,,1.78,"Static"
412,"downward",30,30,,1.1,"Static"
412,"downward",60,60,,1.05,"Static"
412,"downward",90,90,,1.033333333,"Static"
412,"downward",120,120,,0.966666667,"Static"
412,"upward",30,30,,1.1,"Static"
412,"upward",60,60,,1.116666667,"Static"
412,"upward",90,90,,1.2,"Static"
412,"upward",120,120,,1.166666667,"Static"
413,"downward",30,30,,1.033333333,"Static"
413,"downward",60,60,,1.0,"Static"
413,"downward",90,90,,1.05,"Static"
413,"downward",120,120,,0.916666667,"Static"
413,"upward",30,30,,1.133333333,"Static"
413,"upward",60,60,,1.116666667,"Static"
413,"upward",90,90,,1.133333333,"Static"
413,"upward",120,120,,1.2,"Static"
414,"downward",30,30,,1.116666667,"Static"
414,"downward",60,60,,1.1,"Static"
414,"downward",90,90,,1.1,"Static"
414,"downward",120,120,,1.083333333,"Static"
414,"upward",30,30,,0.933333333,"Static"
414,"upward",60,60,,0.9,"Static"
414,"upward",90,90,,0.933333333,"Static"
414,"upward",120,120,,0.983333333,"Static"
415,"downward",30,30,,1.133333333,"Static"
415,"downward",60,60,,1.116666667,"Static"
415,"downward",90,90,,1.15,"Static"
415,"downward",120,120,,1.116666667,"Static"
415,"upward",30,30,,0.95,"Static"
415,"upward",60,60,,0.933333333,"Static"
415,"upward",90,90,,0.966666667,"Static"
415,"upward",120,120,,0.95,"Static"
416,"downward",30,30,,1.183333333,"Static"
416,"downward",60,60,,1.083333333,"Static"
416,"downward",90,90,,1.116666667,"Static"
416,"downward",120,120,,1.016666667,"Static"
416,"upward",30,30,,1.1,"Static"
416,"upward",60,60,,1.116666667,"Static"
416,"upward",90,90,,1.183333333,"Static"
416,"upward",120,120,,1.166666667,"Static"
417,"downward",30,30,,1.016666667,"Static"
417,"downward",60,60,,1.05,"Static"
417,"downward",90,90,,1.05,"Static"
417,"downward",120,120,,1.033333333,"Static"
417,"upward",30,30,,1.0,"Static"
417,"upward",60,60,,1.0,"Static"
417,"upward",90,90,,1.0,"Static"
417,"upward",120,120,,1.016666667,"Static"
418,"downward",30,30,,0.983333333,"Static"
418,"downward",60,60,,1.15,"Static"
